Esperanto,Japanese_Trans,Chinese_Trans,Korean_Trans,Level_JP,Level_CN,Level_JP_Num,Level_JP_Scaled,Unified_Level
Esperanto,{Ｂ}国際補助語（1887年にザメンホフが発表した人工言語）,世界语,"중립적 국제어, 인공 언어",B,8.0,2.0,5.67,6.83
Eŭropo,{Ｂ}【地名】ヨーロッパ,欧洲,유럽,B,9.0,2.0,5.67,7.33
Mediteraneo,{Ｂ}【地名】地中海（ヨーロッパ南）,地中海,지중해,C,9.0,3.0,8.79,8.9
Pacifiko,"{Ｂ}【地名】太平洋, =〜a Oceano",太平洋,태평양,C,9.0,3.0,8.79,8.9
abelo,"{Ｂ}【虫】ミツバチ（蜜蜂）（属）; 《般》（小型の）ハチ（蜂）, >>〜",蜜蜂；（泛）小型蜂类,꿀벌; (일반) 벌,C,8.0,3.0,8.79,8.4
aboni,"{Ｂ}［他］（一定期間・継続的に）予約する, 購読する, >>〜, >>antaŭmendi",预付订阅，定期预订,"정기 예약하다, 구독하다",B,8.0,2.0,5.67,6.83
absoluta,"{Ｂ}絶対の, 無条件の, 完全な, 全くの, >>senkondiĉa, >>〜",绝对的，无条件的，完全的,"절대적인, 무조건의, 완전한",B,9.0,2.0,5.67,7.33
absurda,"{Ｂ}非常識な, 不合理な; ばかげた, ばかばかしい; 【哲】不条理な",荒谬，不合逻辑；（哲）荒诞的,"터무니없는, 불합리한; (철학) 부조리한",C,9.0,3.0,8.79,8.9
abunda,"{Ｂ}有り余るほどの, 豊富な, >>〜",丰富的，充足的，大量的,"풍부한, 아주 많은",C,7.0,3.0,8.79,7.9
adapti,"{Ｂ}［他］適合させる, 適応させる, 合わせる; （劇や映画用に）脚色する",使适应，使适合；改编,"맞추다, 적응시키다; (연극·영화용으로) 각색하다",C,9.0,3.0,8.79,8.9
adiaŭ,{Ｂ}［間］さようなら,再见，告别,"안녕히 가세요, 안녕히 계세요; 작별 인사",B,7.0,2.0,5.67,6.33
adicii,"{Ｂ}［他］【数】加える, 足し算する, >>aldoni",[数学]相加；做加法,"더하다, 덧셈하다",C,8.0,3.0,8.79,8.4
adjektivo,{Ｂ}【Ｇ】形容詞,形容词,형용사,C,8.0,3.0,8.79,8.4
administri,"{Ｂ}［他］管理する, 経営する, 運営する; （～の）行政をつかさどる",管理，经营，运营；主管行政,"관리하다, 경영하다, 운영하다; 행정을 맡다",C,8.0,3.0,8.79,8.4
admiri,"{Ｂ}［他］感嘆する, 賛美する; 敬服する, 感心する",赞赏，赞美；钦佩，敬服,"감탄하다, 존경하다",B,8.0,2.0,5.67,6.83
admoni,"{Ｂ}［他］言い聞かせる, 勧告する, 強く勧める; 戒める, 訓戒する, 説諭する, 叱責する",劝告，告诫，规劝；训诫，申斥,"타이르다, 권고하다, 훈계하다, 꾸짖다",C,8.0,3.0,8.79,8.4
adopti,"{Ｂ}［他］養子にする; 《転》（自分の考え・行動に）取り入れる, 採用する",收养，过继；采纳，采用,입양하다; (비유) 채택하다,C,8.0,3.0,8.79,8.4
adori,"{Ｂ}［他］【宗】礼拝する, 崇拝する, あがめる; 《転》敬慕する, あこがれる; 《転》大好きである",崇拜，崇敬；酷好，醉心于…,"예배하다, 숭배하다; (비유) 동경하다, 몹시 좋아하다",C,9.0,3.0,8.79,8.9
adreso,{Ｂ}住所; あて名; 【情】アドレス（メモリの番地）,地址；收件人姓名和地址；（计算机）地址（如内存地址）,"주소, 받는 이의 이름과 주소; (컴퓨터) 주소",B,5.0,2.0,5.67,5.33
adverbo,"{Ｂ}【Ｇ】副詞, >>e-vorto",副词,부사,C,9.0,3.0,8.79,8.9
advokato,"{Ｂ}弁護士, 弁護人; 《転》代弁者",律师，辩护人；（转）代言人，拥护者,"변호사, 변호인; (비유) 대변자",C,8.0,3.0,8.79,8.4
aero,"{Ｂ}空気, 外気, 大気; 空, 空中",空气，大气；空中，天空,"공기, 외기, 대기; 하늘, 공중",A,4.0,1.0,2.54,3.27
afabla,"{Ｂ}愛想のよい, 親切な; ものやわらかな, ていねいな; 【情】使いやすい, ユーザーフレンドリーな",和蔼的，亲切的，温和有礼的；（信息）用户友好的,상냥하고 친절한; 온화하고 예의 바른; (정보) 사용자 친화적인,B,3.0,2.0,5.67,4.33
afero,"{Ｂ}物事（ものごと）, 事, 事柄, 事項; 用件, 用事, 問題; 事件, 出来事; 事業, 業務; 【法】訴訟事件; 【商】取引, >>negoco",事情，事务，案件；（法）诉讼事件；（商）交易,"일, 사안, 사항; 용건, 문제; 사건, 일어난 일; 사업, 업무; (법) 소송 사건; (상업) 거래",A,2.0,1.0,2.54,2.27
afiŝo,"{Ｂ}ポスター, 貼り紙, 掲示物; プラカード; 【情】（メーリングリストや電子掲示板などの）投稿記事, 掲示",海报，招贴，告示；（网络）帖子,"포스터, 벽보, 게시물; (인터넷) 게시글",C,8.0,3.0,8.79,8.4
aflikti,"{Ｂ}［他］深く悲しませる, 苦しませる, 悩ませる",使痛苦，使忧伤，使苦恼,깊이 괴롭혀 고통스럽게 하다,C,9.0,3.0,8.79,8.9
afranki,"{Ｂ}［他］切手を貼る, 郵便料金を払う",预付邮费，贴邮票,"우편요금을 내다, 우표를 붙이다",C,8.0,3.0,8.79,8.4
agi,"{Ｂ}［自］行動する, ふるまう; 【理】作用する",行动，行事；起作用,행동하다; 작용하다,A,5.0,1.0,2.54,3.77
agrabla,"{Ｂ}快い, 心地よい, 気持ちのよい",令人愉快的,기분 좋고 유쾌한,A,4.0,1.0,2.54,3.27
ajlo,"{Ｂ}【植】ニンニク（大蒜）; 《般》にんにく（球根）, =〜bulbo",大蒜；蒜头，蒜瓣,마늘; 마늘의 구근이나 쪽,C,9.0,3.0,8.79,8.9
ajn,{Ｂ}［副］～であっても（無差別を示す）,无论，不管；任何,"어느 것이든, 아무거나",A,1.0,1.0,2.54,1.77
akademio,"{Ｂ}学士院, アカデミー",学院，研究院,"학술원, 아카데미",C,9.0,3.0,8.79,8.9
akceli,"{Ｂ}［他］加速する, 促進する, >>plirapidigi",加速，促进,"속도를 높이다, 촉진하다",C,8.0,3.0,8.79,8.4
akcento,{Ｂ}【Ｇ】【楽】アクセント; 《転》強調,重音，重读；口音；（转）强调，重点,"강세, 악센트; (비유) 강조",C,9.0,3.0,8.79,8.9
akcepti,"{Ｂ}［他］受入れる, 受理する; 迎え入れる; 容認する",接受，受理；迎接；容许，认可,"받아들이다, 수락하다, 접수하다; 맞아들이다; 용인하다",A,4.0,1.0,2.54,3.27
akcidento,"{Ｂ}事故, 災難",事故，意外灾害,"사고, 재해",B,7.0,2.0,5.67,6.33
akiri,"{Ｂ}［他］手に入れる, 獲得する, 習得する, >>〜",获得，得到,"손에 넣다, 획득하다, 습득하다",B,6.0,2.0,5.67,5.83
akompani,{Ｂ}［他］同行する; 【楽】伴奏する,陪同，伴随；（乐）伴奏,"함께 가다, 동행하다; (음악) 반주하다",B,6.0,2.0,5.67,5.83
akordo,"{Ｂ}一致, 調和; 【楽】和音",融洽，协调，一致，和弦,"일치, 조화; (음악) 화음",C,9.0,3.0,8.79,8.9
akra,{Ｂ}鋭い; （味・音などが）刺激の強い; 厳しい,锋利，尖锐；刺激性强；严厉,"예리한, 날카로운; 자극적인; 엄한",B,6.0,2.0,5.67,5.83
aktiva,"{Ｂ}活動的な, 活発な, 積極的な; 活動中の, 現役の; 【Ｇ】能動の",活动的，积极的；现役的；（语）能动的,"활동적이고 활발한, 적극적인; 활동 중인, 현역의; (문법) 능동의",B,9.0,2.0,5.67,7.33
akto,{Ｂ}【劇】幕; 公式行為・決定; 【法】証書,（戏剧）幕；正式行为、决定；（法）证书，文书,"연극의 막; 공식 행위·결정; (법) 증서, 문서",C,9.0,3.0,8.79,8.9
aktoro,{Ｂ}俳優,演员,배우,B,9.0,2.0,5.67,7.33
aktuala,"{Ｂ}現行の, 当面の, 今日的な",当前的，现行的；时事性的,"현행의, 당면한, 오늘날의",C,9.0,3.0,8.79,8.9
akurata,"{Ｂ}時間・期限を正確に守る, 期日どおりの",准时的，按时履行的,시간·약속을 정확히 지키는,C,8.0,3.0,8.79,8.4
akuzi,"{Ｂ}［他］【法】告発する, 告訴する; （一般）非難する, 責める",指责，谴责；控告，控诉,"비난하다; (법) 고발하다, 고소하다",C,9.0,3.0,8.79,8.9
akvo,{Ｂ}水,水,물,A,3.0,1.0,2.54,2.77
al,{Ｂ}［前］～へ,向，朝，往；给（与格用法）,"…에게, …으로, …로",A,1.0,1.0,2.54,1.77
albumo,"{Ｂ}（写真・切手の）アルバム, 写生帳, サイン帳; （音楽ＣＤの）アルバム, 曲集",影集，画册，集邮册；（音乐）专辑,"사진첩, 우표첩, 스케치북, 서명첩; 음악 앨범, 곡집",C,8.0,3.0,8.79,8.4
alfabeto,"{Ｂ}【Ｇ】アルファベット, 字母",字母表,"알파벳, 자모",C,9.0,3.0,8.79,8.9
alia,"{Ｂ}ほかの, 別の, その他の; もう一つの / ［代］他の人・もの",别的，另外的；另一个；（代）别人；别的事物,"다른, 또 하나의; (대명사) 다른 사람, 다른 것",A,2.0,1.0,2.54,2.27
alkoholo,{Ｂ}アルコール,酒精，（乙）醇,"알코올, 주정",C,8.0,3.0,8.79,8.4
almenaŭ,{Ｂ}［副］少なくとも,至少；起码,적어도,A,1.0,1.0,2.54,1.77
almozo,"{Ｂ}施し, 施し物",施舍物，布施；救济金,"자선금, 시주; 구호품",C,8.0,3.0,8.79,8.4
alta,"{Ｂ}高い; 高貴な, 高級な",高的；高贵的；高级的,"높은; 고귀한, 고급의",A,2.0,1.0,2.54,2.27
alterni,{Ｂ}［自］交互に起こる,交替，轮流，交替发生（如交流电、轮作）,"번갈아 일어나다, 교대하다",C,9.0,3.0,8.79,8.9
aludi,"{Ｂ}［他］ほのめかす, それとなく言及する, 暗示する",暗指；暗示，（间接）提到,넌지시 언급하다,C,9.0,3.0,8.79,8.9
alumeto,{Ｂ}マッチ,火柴,성냥,C,7.0,3.0,8.79,7.9
amara,{Ｂ}苦い; きびしい,苦的；辛酸的，严酷的,맛이 쓴; (비유) 가혹한,C,9.0,3.0,8.79,8.9
amaso,"{Ｂ}集積, 大量, 群れ; 大衆, 群衆",一大堆，一群；人群,"무더기, 대량; 군중",A,4.0,1.0,2.54,3.27
amatoro,"{Ｂ}アマチュア, 愛好家, ><profesiulo",业余爱好者，爱好者,"아마추어, 애호가",C,9.0,3.0,8.79,8.9
ambasadoro,{Ｂ}大使,大使,대사,C,9.0,3.0,8.79,8.9
ambaŭ,"{Ｂ}［形］両方の, 双方の / {Ｂ}［代］両方, 両者 / {Ｂ}［副］両方とも, どちらも",两者的；两者；两者都,"양쪽의, 양자의; 둘 다",A,1.0,1.0,2.54,1.77
ami,"{Ｂ}［他］愛する, 好きである",爱,사랑하다,A,2.0,1.0,2.54,2.27
amiko,{Ｂ}友達; 味方,朋友；伙伴，支持者,"친구; 편, 동지",A,2.0,1.0,2.54,2.27
amplekso,"{Ｂ}大きさ, 広がり; 【哲】外延; 【統】分布範囲; 【楽】音域",大小，广度；（哲）外延；（统）分布范围；（音）音域,"크기, 넓이; (철학) 외연; (통계) 분포 범위; (음악) 음역",C,8.0,3.0,8.79,8.4
amuzi,{Ｂ}［他］楽しませる,使…愉快；逗乐；使…消遣,남을 즐겁게 하다,B,5.0,2.0,5.67,5.33
anaso,{Ｂ}【鳥】カモ（鴨）; アヒル（家鴨）,鸭类；野鸭、家鸭,"오리; 야생 오리, 집오리",C,8.0,3.0,8.79,8.4
anekdoto,"{Ｂ}逸話, 奇聞; 小話",轶事，趣闻，小故事,"일화, 짧은 이야기",C,9.0,3.0,8.79,8.9
angulo,"{Ｂ}角（かど）, すみ; 【数】角（かく）",角；角落,"각, 모서리, 구석; (수학) 각",B,4.0,2.0,5.67,4.83
animalo,"{Ｂ}動物, ><〜",动物,동물,C,8.0,3.0,8.79,8.4
animo,"{Ｂ}魂, 心; 生気; 【宗】霊",灵魂，心灵；生机，活力；（宗）灵,"영혼, 마음; 생기; (종교) 영",B,5.0,2.0,5.67,5.33
ankaŭ,{Ｂ}［副］～もまた,也,"또한, …도",A,1.0,1.0,2.54,1.77
ankoraŭ,{Ｂ}［副］まだ; もっと,还，仍；还要，更,"아직, 여전히; 더, 한층",A,1.0,1.0,2.54,1.77
anonci,{Ｂ}［他］予告する; 公告する,宣布，通告，公告,"예고하다; 공고하다, 알리다",B,6.0,2.0,5.67,5.83
anstataŭ,{Ｂ}［前］～の代わりに / {Ｂ}［接］～する代わりに,代替；代替…（可作介词/连词）,…대신에; …하는 대신에,A,1.0,1.0,2.54,1.77
antaŭ,{Ｂ}［前］（時間的・空間的に）～の前に,在…前面，在…以前,…의 앞에; …보다 앞서(이전에),A,1.0,1.0,2.54,1.77
anĝelo,{Ｂ}天使,天使,천사,C,8.0,3.0,8.79,8.4
aparato,"{Ｂ}装置, 機械一式; 【解】器官系; 【政】機関; 【文献】校勘資料; 【情】装置, デバイス",一套装置，仪器；（解）器官系统；（政）机关；（文献）校勘资料；（信息）装置，设备,"장치, 기계; (해부) 기관계; (정치) 기구; (문헌) 교감 자료; (정보) 장치, 디바이스",B,7.0,2.0,5.67,6.33
aparta,"{Ｂ}別の, 別々の; 特別の",单独的，个别的，分开的；特别的,"별개의, 따로의; 특별한",B,4.0,2.0,5.67,4.83
apartamento,"{Ｂ}アパートメント, フラット（集合住宅内の一区画）",公寓套房；公寓中的一户住宅,아파트 한 세대,C,8.0,3.0,8.79,8.4
aparteni,{Ｂ}［自］～のものである; ～に所属する,属，属于,…의 것이다; …에 속하다,B,6.0,2.0,5.67,5.83
apenaŭ,"{Ｂ}［副］やっと, かろうじて; ほとんど～ない / {Ｂ}［接］～するや否や",几乎不；勉强，才；刚…就…,"거의 …않다; 겨우, 간신히; …하자마자",A,1.0,1.0,2.54,1.77
aperi,"{Ｂ}［自］現われる, （刊行物が）出る",出现；（刊行物）出版，发行,"나타나다, 출현하다; (간행물이) 나오다",A,4.0,1.0,2.54,3.27
apetito,{Ｂ}食欲,食欲,식욕,C,8.0,3.0,8.79,8.4
aplaŭdi,{Ｂ}［他］拍手喝采（かっさい）する; 《転》称賛する,鼓掌，拍手称赞；赞同,박수갈채하다; (비유) 찬성하다,C,9.0,3.0,8.79,8.9
apliki,"{Ｂ}［他］応用する, 適用する; 【理】（力を）作用させる",应用，实际运用；使用，采用；（理）施加，使作用于,"응용하다, 적용하다; (물리) 힘을 가하다",C,9.0,3.0,8.79,8.9
apogi,"{Ｂ}［他］支える, もたせかける; 《転》支持する",支撑，使倚靠；（转）支持,"지탱하다, 받쳐 주다; (비유) 지지하다",B,6.0,2.0,5.67,5.83
apoteko,{Ｂ}薬局,药店，药房,약국,C,8.0,3.0,8.79,8.4
aprilo,{Ｂ}４月,四月,사월,A,5.0,1.0,2.54,3.77
aprobi,"{Ｂ}［他］賛成する, 同意する; 是認する, 認可する",赞成，认可,"찬성하다, 동의하다; 인정하다, 승인하다",B,6.0,2.0,5.67,5.83
apud,{Ｂ}［前］～のそばに,在…近旁,"옆에, 가까이에",A,1.0,1.0,2.54,1.77
araneo,{Ｂ}【動】クモ（蜘蛛）,蜘蛛,거미,C,8.0,3.0,8.79,8.4
aranĝi,"{Ｂ}［他］整える, 整頓する; 手配する; 【楽】編曲する; 【劇】脚色する",整理，布置；安排；（乐）编曲；（剧）改编,정리·배열하다; 준비하다; (음악) 편곡하다; (극) 각색하다,B,5.0,2.0,5.67,5.33
arbitra,"{Ｂ}任意の, 勝手気ままな",任意的，武断的,"임의의, 자의적인; 제멋대로의",C,9.0,3.0,8.79,8.9
arbo,"{Ｂ}木, 樹木; 【植】高木",树,"나무, 수목",A,3.0,1.0,2.54,2.77
arko,"{Ｂ}弓形; 弓, =paf〜; 【数】弧; 【建】アーチ; 【理】電弧, =lum〜; 【解】弓",弧，拱形物；弓；[物] 电弧；（解）弓状结构,"활 모양, 활; (수학) 호; (건축) 아치; (물리) 전호; (해부) 활꼴 부분",C,8.0,3.0,8.79,8.4
armeo,{Ｂ}軍隊; ～軍; 《転》大群,军队；（转）大群,"군대; (비유) 대군, 큰 무리",B,7.0,2.0,5.67,6.33
armi,{Ｂ}［他］武装させる; 装甲・補強する; 《転》強化する,武装；披甲；加固，装甲,"무장시키다; 무기를 갖추게 하다; 장갑을 입히다, 보강하다; (비유) 강화하다",B,6.0,2.0,5.67,5.83
artikolo,"{Ｂ}記事; 辞書項目; 条項; 【法】（法令の）条, >>paragrafo; 【Ｇ】冠詞",文章，词典条目，条款；（法）条文；（语）冠词,"기사; 사전 항목; 조항, 조문; (문법) 관사",B,7.0,2.0,5.67,6.33
arto,"{Ｂ}技術, ～術; 芸術; （自然に対して）人工",技艺；艺术；人工,"기술, 예술; 인공",A,3.0,1.0,2.54,2.77
arĝento,{Ｂ}銀; 【遊】（将棋の）銀将,银；（将棋）银将,은(금속); (쇼기) 은장,B,5.0,2.0,5.67,5.33
asekuri,"{Ｂ}［他］保険をかける; 保証する, 請け合う",为…保险；担保，保障,"보험에 들다/들게 하다; 보증하다, 보장하다",C,8.0,3.0,8.79,8.4
aserti,"{Ｂ}［他］断言する, 主張する",断言，断定,"단언하다, 주장하다",C,9.0,3.0,8.79,8.9
asocio,"{Ｂ}協会, 結社; 結合, 連合; 連想",协会，联合会，社团；联想，结合,"협회, 결사체; 결합, 연합; 연상",B,8.0,2.0,5.67,6.83
aspekti,{Ｂ}［自］見える,像是，貌似，显得,"…처럼 보이다, …인 듯하다",B,7.0,2.0,5.67,6.33
ataki,{Ｂ}［他］攻撃する; 襲う,进攻，袭击,"공격하다, 습격하다",B,6.0,2.0,5.67,5.83
atendi,{Ｂ}［他］待つ; 期待する,等待；预料；期待,기다리다; 기대하다,A,3.0,1.0,2.54,2.77
atenta,{Ｂ}注意深い,注意周到的，留心的，细心的,주의 깊은,A,4.0,1.0,2.54,3.27
atesti,"{Ｂ}［他］証言する, 証明する",证明，证实，作证,증언하다; 증명하다,C,8.0,3.0,8.79,8.4
atingi,"{Ｂ}［他］着く, 届く, 到達する; （目標を）達成する",到达，达到；做到,"도달하다, 닿다; 이루다, 달성하다",A,5.0,1.0,2.54,3.77
atomo,"{Ｂ}【理】原子; 【哲】アトム; 《転》微小物, 微塵",原子；（哲）原子（不可分实体）；（转）微粒,원자; (철학) 아톰; (비유) 극미한 것,C,9.0,3.0,8.79,8.9
avara,"{Ｂ}欲の深い, けちな",吝啬，贪婪,"인색한, 욕심 많은",C,6.0,3.0,8.79,7.4
aventuro,{Ｂ}冒険; 不意の出来事,奇遇；冒险,"모험, 뜻밖의 사건",C,7.0,3.0,8.79,7.9
avenuo,"{Ｂ}並木道, アベニュー; 大通り",林荫大道；大街，干道,가로수가 있는 큰길; 대로,C,8.0,3.0,8.79,8.4
averti,"{Ｂ}［他］警告する, 注意を促す, 予告する",警告，提醒，劝阻,경고하다; 주의를 주다; 미리 알리다,B,6.0,2.0,5.67,5.83
avida,{Ｂ}渇望している; むさぼるような,渴望的；贪求的，贪婪的,"탐욕스러운, 갈망하는",C,8.0,3.0,8.79,8.4
avo,{Ｂ}祖父; おじいさん,祖父（爷爷/外公）,할아버지,B,4.0,2.0,5.67,4.83
azeno,{Ｂ}【動】ロバ; 《転》愚か者,驴；（转）笨人，蠢人,당나귀; (비유) 바보,C,5.0,3.0,8.79,6.9
aĉeti,"{Ｂ}［他］買う, 購入する; =〜（買収する）",买，购买；（转）收买,"사다, 구입하다; (비유) 매수하다",A,3.0,1.0,2.54,2.77
aĝo,"{Ｂ}年齢, 歳; 時代, 年代",年龄；时代，时期,"나이, 연령; 시대",A,4.0,1.0,2.54,3.27
aŭ,"{Ｂ}［接］または, あるいは",或者，还是,"또는, 혹은",A,1.0,1.0,2.54,1.77
aŭdi,{Ｂ}［他］聞く; 聞こえる,听见；听到,듣다; 들리다,A,3.0,1.0,2.54,2.77
aŭgusto,{Ｂ}８月,八月,팔월,A,5.0,1.0,2.54,3.77
aŭskulti,"{Ｂ}［他］聴く, 耳を傾ける, 傾聴する",听，倾听,"주의해서 듣다, 경청하다",A,4.0,1.0,2.54,3.27
aŭto,"{Ｂ}自動車, =〜mobilo",汽车,자동차,A,8.0,1.0,2.54,5.27
aŭtobuso,{Ｂ}バス,公共汽车,버스,B,7.0,2.0,5.67,6.33
aŭtomato,"{Ｂ}自動装置, 自動機械; 自動販売機; 自動人形",自动装置，自动机械；自动售货机；自动人偶,"자동장치, 자동기계; 자동판매기; 자동인형",C,7.0,3.0,8.79,7.9
aŭtomobilo,"{Ｂ}自動車（乗用車）, =〜",同〜（汽车）,자동차,C,8.0,3.0,8.79,8.4
aŭtoritato,"{Ｂ}権威, 権限; 当局, 権力機関",权威；权限，职权；当局,"권위, 권한; 당국, 권력 기관",C,8.0,3.0,8.79,8.4
aŭtoro,"{Ｂ}著者, 作者",作者，著者,"저자, 작가",B,9.0,2.0,5.67,7.33
aŭtuno,{Ｂ}秋,秋天,가을,A,4.0,1.0,2.54,3.27
babili,"{Ｂ}［自］雑談する, おしゃべりする",聊天，闲谈,"잡담하다, 수다 떨다",B,7.0,2.0,5.67,6.33
bagatelo,"{Ｂ}つまらないこと, ささいなこと",小事，琐事,사소한 일,C,9.0,3.0,8.79,8.9
baki,"{Ｂ}［他］（パン，肉などを）焼く, （煉瓦，陶器などを）焼き固める",烘烤，焙；烧制（砖瓦、陶器等）,빵·고기 등을 굽다; 벽돌·도자기 등을 구워 굳히다,C,8.0,3.0,8.79,8.4
balai,{Ｂ}［他］掃く; 【理】走査する,扫，清扫；（技/理）扫描，扫掠,빗자루로 쓸어 청소하다; (물리) 주사하다,C,6.0,3.0,8.79,7.4
balanci,"{Ｂ}［他］揺らす, ゆり動かす; （頭・手足を）振る",摇动，摆动；晃动头或手脚,"흔들다, 흔들어 움직이다; 머리·팔다리를 흔들다",C,8.0,3.0,8.79,8.4
balbuti,{Ｂ}［自］どもる,口吃，结巴,말을 더듬다,C,9.0,3.0,8.79,8.9
baldaŭ,"{Ｂ}［副］まもなく, やがて",不久，没多时,"곧, 머지않아",A,1.0,1.0,2.54,1.77
balo,"{Ｂ}舞踏会, ダンスパーティ",舞会,무도회,C,9.0,3.0,8.79,8.9
balono,"{Ｂ}気球; 風船, =〜eto; 【化】球形フラスコ",气球；（玩具）橡皮气球；（化）球形烧瓶,"기구(열기구), 풍선; (화학) 구형 플라스크",C,7.0,3.0,8.79,7.9
baloti,"{Ｂ}［自］投票する, 票決する",投票（选举）,투표하다,C,9.0,3.0,8.79,8.9
bambuo,{Ｂ}【植】タケ（竹）,竹,대나무,C,9.0,3.0,8.79,8.9
banano,{Ｂ}【果】バナナ,香蕉,바나나,C,9.0,3.0,8.79,8.9
bandaĝo,{Ｂ}包帯,绷带,붕대,C,9.0,3.0,8.79,8.9
