PhraseID,LevelID,LevelName_EN,TopicName_EN,SubtopicName_EN,Esperanto,English,日本語,中文,한국어,Русский язык
199,2,Beginner 2,Basic Sentences,Good Wishes,Resaniĝu baldaŭ!,Get well soon!,お大事にしてください。,早日康复！,빨리 쾌차하세요!,Поправляйся скорее!
200,2,Beginner 2,Basic Sentences,Good Wishes,Je via sano!,Cheers!,乾杯！,干杯！,건배!,Будем здоровы!
201,2,Beginner 2,Basic Sentences,Good Wishes,Dormu bone!,Sleep well!,おやすみなさい。,晚安，祝你睡个好觉！,편안한 밤 되세요!,Спи крепко!
202,4,Intermediate 2,Basic Sentences,Good Wishes,Mi ĝojas aŭdi tion,Glad to hear it.,それを聞いてうれしいです。,很高兴听到这个消息。,그렇게 들으니 기쁘네요.,Рад это слышать.
203,4,Intermediate 2,Basic Sentences,Good Wishes,Bonan vojaĝon!,Enjoy your trip!,良いご旅行を！,旅途愉快！,즐거운 여행 되세요!,Хорошей тебе поездки!
204,4,Intermediate 2,Basic Sentences,Good Wishes,Bonan amuzon!,Have a good time!,楽しんでください！,玩得开心！,즐거운 시간 보내세요!,Желаю хорошо провести время!
205,5,Intermediate 3,Basic Sentences,Good Wishes,Agrablan nokton!,Have a great night!,素敵な夜をお過ごしください。,祝你晚上愉快！,좋은 밤 되세요!,Приятной ночи!
206,5,Intermediate 3,Basic Sentences,Good Wishes,Bonan semajnfinon!,Have a good weekend!,良い週末をお過ごしください。,周末愉快！,좋은 주말 보내세요!,Хороших выходных!
207,5,Intermediate 3,Basic Sentences,Good Wishes,Mi deziras al vi sanon,I wish you health.,ご健康をお祈りしています。,祝你健康。,건강하시길 바랍니다.,Желаю тебе здоровья.
208,4,Intermediate 2,Basic Sentences,Good Wishes,Mi deziras al vi feliĉon,I wish you happiness.,あなたの幸せを願っています。,祝你幸福。,행복하시길 바랍니다.,Желаю тебе счастья.
209,5,Intermediate 3,Basic Sentences,Good Wishes,Ke ĉiuj viaj deziroj plenumiĝu!,May all your wishes come true.,あなたの願いがすべて叶いますように。,愿你心想事成。,당신의 모든 소원이 이루어지길 바랍니다.,Пусть все твои желания исполнятся.
210,5,Intermediate 3,Basic Sentences,Good Wishes,Ni tostu por vi!,Let's make a toast to you!,あなたに乾杯しましょう！,让我们为你干杯！,당신을 위해 건배합시다!,Давайте поднимем тост за вас!
211,6,Advanced 1,Basic Sentences,Good Wishes,Bonan nokton kaj dolĉajn sonĝojn!,Good night and sweet dreams!,おやすみなさい、いい夢を。,晚安，祝你做个好梦！,"좋은 밤 되시고, 편안한 꿈 꾸세요!",Спокойной ночи и приятных снов!
212,6,Advanced 1,Basic Sentences,Good Wishes,"Mi esperas, ke ĉiuj viaj revoj realiĝos",I hope all your dreams come true.,あなたのすべての夢が叶いますように。,希望你所有的梦想都能实现。,당신의 모든 꿈이 이루어지길 바랍니다.,"Надеюсь, все твои мечты исполнятся."
213,6,Advanced 1,Basic Sentences,Good Wishes,Mi deziras al vi longan kaj feliĉan vivon!,I wish you a long and happy life!,あなたの人生が長く、幸せでありますように。,祝你长命百岁，幸福安康！,오래오래 행복하게 사시길 바랍니다!,Желаю тебе долгой и счастливой жизни!
214,9,Expert 1,Basic Sentences,Good Wishes,"Mi deziras al vi sukceson en ĉio, kion vi faras",I wish you success in everything you do.,あなたのすべてのご活躍をお祈りしています。,祝你事事顺利，万事如意。,하시는 모든 일이 잘 되시길 바랍니다.,Желаю тебе успехов во всех делах.
215,9,Expert 1,Basic Sentences,Good Wishes,Mi deziras al vi feliĉon en via speciala tago,Wishing you happiness on your special day.,あなたの特別な日が幸せで満ちあふれますように。,祝你在这个特别的日子里幸福快乐。,특별한 날에 행복이 가득하시길 바랍니다.,Желаю тебе счастья в этот особый день.
216,9,Expert 1,Basic Sentences,Good Wishes,Mi ŝatus proponi toston por mia filo,I'd like to propose a toast to my son.,息子に乾杯を捧げたいと思います。,我想为我的儿子敬一杯。,제 아들에게 건배를 제안하고 싶습니다.,Я бы хотел предложить тост за своего сына.
217,9,Expert 1,Basic Sentences,Good Wishes,"Kun via permeso, mi volus diri kelkajn vortojn","With your permission, I'd like to say a few words.",もしよろしければ、少しお話しさせていただきたいと思います。,如果您允许的话，我想说几句话。,허락해 주신다면 몇 말씀 드리고 싶습니다.,"С вашего разрешения, я бы хотела сказать несколько слов."
218,9,Expert 1,Basic Sentences,Good Wishes,Bonŝancon por via unua tago en la lernejo!,Good luck on your first day at school.,初めての登校、頑張ってね。,祝你开学第一天顺利。,학교 첫날 잘 보내길 바랄게요.,Удачного тебе первого дня в школе.
219,9,Expert 1,Basic Sentences,Good Wishes,Bonŝancon en via nova laboro!,Good luck on your new job!,新しいお仕事、頑張ってくださいね！,祝你新工作顺利！,새로운 직장에서 행운을 빌어요!,Удачи на новой работе!
220,6,Advanced 1,Basic Sentences,Good Wishes,"Mi esperas, ke vi baldaŭ fartos pli bone",I hope you feel better soon.,どうか早く良くなりますように。,希望你早日康复。,얼른 나아지시길 바랍니다.,"Я надеюсь, тебе скоро станет лучше."
221,6,Advanced 1,Basic Sentences,Good Wishes,Bonan vojaĝon hejmen!,Have a safe journey home!,どうぞお気をつけてお帰りください。,一路平安！,안전하게 귀가하세요!,Лёгкой дороги назад!
222,1,Beginner 1,Basic Sentences,Thanks,Dankon,Thank you.,ありがとうございます。,谢谢你。,감사합니다.,Спасибо.
223,1,Beginner 1,Basic Sentences,Thanks,Nedankinde,You're welcome.,どういたしまして。,不客气。,천만에요.,Пожалуйста.
224,1,Beginner 1,Basic Sentences,Thanks,"Ne, dankon","No, thanks.",いいえ、結構です。,不用了，谢谢。,"아니요, 괜찮아요.","Нет, спасибо."
225,1,Beginner 1,Basic Sentences,Thanks,Mi ĝojas helpi,Happy to help.,お手伝いできてうれしいです。,很乐意帮忙。,기꺼이 도와드릴게요.,Рад помочь.
226,2,Beginner 2,Basic Sentences,Thanks,Multan dankon,Thank you very much.,ありがとうございます。,非常感谢。,정말 감사합니다.,Большое спасибо.
227,2,Beginner 2,Basic Sentences,Thanks,Nedankinde,Don't mention it.,どういたしまして。,不用谢。,별말씀을요.,Не стоит благодарности.
228,2,Beginner 2,Basic Sentences,Thanks,Tio estas tre afabla de vi,That's very kind of you.,ご親切にありがとうございます。,你真是太好了。,정말 친절하시네요.,Это очень мило с твоей стороны.
229,3,Intermediate 1,Basic Sentences,Thanks,"Dankon, ke vi venis",Thanks for coming.,来てくれてありがとう。,感谢您的到来。,와 주셔서 감사합니다.,"Спасибо, что пришёл."
230,3,Intermediate 1,Basic Sentences,Thanks,Dankon pro via gastamo,Thanks for your hospitality.,ご親切にしていただき、ありがとうございました。,感谢您的热情款待。,환대해 주셔서 감사합니다.,Спасибо за гостеприимство.
231,3,Intermediate 1,Basic Sentences,Thanks,Dankon pro via donaco,Thanks for your present.,プレゼントをありがとうございます。,谢谢你的礼物。,선물 주셔서 감사합니다.,Спасибо за подарок.
232,2,Beginner 2,Basic Sentences,Thanks,"Dankon, ke vi tiel diris",Thank you for saying so.,そう言っていただき、ありがとうございます。,谢谢你这么说。,그렇게 말씀해 주셔서 감사합니다.,Спасибо тебе за такие слова.
233,4,Intermediate 2,Basic Sentences,Thanks,Ne ĝenu vin,Don't bother.,気にしないで。,不用麻烦了。,신경 쓰지 마세요.,Не стоит беспокоиться.
234,3,Intermediate 1,Basic Sentences,Thanks,"Mi fartas bone, dankon","I'm good, thanks.",元気です、ありがとうございます。,我很好，谢谢。,"저는 괜찮아요, 감사합니다.","У меня всё хорошо, спасибо."
235,4,Intermediate 2,Basic Sentences,Thanks,Dankon pro via helpo,Thanks for your help.,ご協力いただきありがとうございます。,谢谢你的帮助。,도와주셔서 감사합니다.,Спасибо тебе за помощь.
236,4,Intermediate 2,Basic Sentences,Thanks,Tute nenio,It's nothing at all.,全然気にしないでください。,没什么。,전혀 아무것도 아니에요.,Не за что.
237,4,Intermediate 2,Basic Sentences,Thanks,Dankon pro ĉio,Thanks for everything.,いろいろとありがとうございました。,谢谢你的一切。,모든 것에 감사드립니다.,Спасибо за всё.
238,5,Intermediate 3,Basic Sentences,Thanks,Dankon pro via komplimento,Thank you for your compliment.,お褒めいただき、ありがとうございます。,谢谢你的夸奖。,칭찬해 주셔서 감사합니다.,Спасибо вам за комплимент.
239,5,Intermediate 3,Basic Sentences,Thanks,Mi estos eterne dankema al vi,I'll forever be grateful.,心から感謝し続けます。,我会永远心怀感激。,영원히 감사할 거예요.,Я буду тебе бесконечно благодарен.
240,5,Intermediate 3,Basic Sentences,Thanks,"Tio estis la plej malmulto, kion mi povis fari",It was the least I could do.,それは私にできるせめてものことでした。,这是我力所能及的事。,제가 할 수 있는 최소한의 일이었어요.,"Это было самое малое, что я мог сделать."
241,5,Intermediate 3,Basic Sentences,Thanks,Estas plezuro,It's a pleasure.,どういたしまして。,不客气。,별말씀을요.,Не стоит благодарности.
242,6,Advanced 1,Basic Sentences,Thanks,Mi ne povas sufiĉe danki vin,I can't thank you enough.,感謝してもしきれません。,我真是感激不尽。,아무리 감사해도 모자랍니다.,Я даже не знаю как вас благодарить.
243,6,Advanced 1,Basic Sentences,Thanks,"Kontraŭe: estas mi, kiu devus danki vin!",On the contrary: I should be thanking you!,むしろ、こちらこそお礼を言うべきです！,恰恰相反，应该是我感谢你才对！,오히려 제가 감사드려야죠!,"Наоборот, это мне следует вас благодарить!"
244,6,Advanced 1,Basic Sentences,Thanks,Mi dankas pro via tempo,I appreciate your time.,お時間をいただき、ありがとうございます。,感谢您的宝贵时间。,시간 내주셔서 감사합니다.,Спасибо за уделённое время.
245,6,Advanced 1,Basic Sentences,Thanks,Vi estas tre malavara,You're very generous.,とても寛大ですね。,你真慷慨。,정말 너그러우시네요.,Вы очень щедры.
246,7,Advanced 2,Basic Sentences,Thanks,"Dankon, mi pasigis bonegan vesperon","Thanks, I had a great evening.",ありがとう、とても楽しい夜を過ごせました。,谢谢你，今晚我过得很愉快。,"감사합니다, 정말 즐거운 저녁이었어요.","Спасибо, я провёл отличный вечер."
247,7,Advanced 2,Basic Sentences,Thanks,"Mi ŝatus diri, kiel dankema mi estas al vi",I'd like to say how grateful I am to you.,あなたに心から感謝しています。,我想表达我对你的感激之情。,당신께 얼마나 감사한지 말씀드리고 싶어요.,"Я бы хотел сказать, как я вам благодарен."
248,7,Advanced 2,Basic Sentences,Thanks,Mi estas tre dankema al vi,I'm very much obliged to you.,本当に感謝しています。,非常感谢您。,정말 감사드립니다.,Я очень вам обязана.
249,7,Advanced 2,Basic Sentences,Thanks,Estis plezuro por mi tion fari,It was a pleasure for me to do that.,それをすることができてうれしかったです。,我很高兴能那样做。,그렇게 할 수 있어서 기뻤어요.,Мне было приятно это сделать.
250,8,Advanced 3,Basic Sentences,Thanks,"Mi neniam forgesos, kion vi faris por mi",I will never forget what you have done for me.,あなたが私のためにしてくれたことは、決して忘れません。,我永远不会忘记你为我所做的一切。,당신이 저에게 해주신 일을 절대 잊지 않을 거예요.,"Я никогда не забуду, что ты для меня сделал."
251,8,Advanced 3,Basic Sentences,Thanks,Vi farus la samon por mi,You would have done the same for me.,あなたもきっと私に同じことをしてくれたはずです。,你也会为我做同样的事。,당신도 저라면 똑같이 해줬을 거예요.,Ты бы сделала для меня то же самое.
252,10,Expert 2,Basic Sentences,Thanks,Tio vere ne estas necesa,It's really not necessary.,本当にそこまでする必要はありません。,真的没必要。,정말 그럴 필요 없어요.,В этом действительно нет необходимости.
253,8,Advanced 3,Basic Sentences,Thanks,Dankon pro la ĉarma vespero!,Thank you for a lovely evening!,素敵な夜をありがとうございました。,谢谢你带给我一个美好的夜晚！,즐거운 저녁 보내게 해주셔서 감사합니다!,Спасибо тебе за чудесный вечер!
254,8,Advanced 3,Basic Sentences,Thanks,"Mi bone amuziĝis hodiaŭ, dankon","I enjoyed myself today, thank you.",今日はとても楽しかったです。ありがとうございました。,今天过得很开心，谢谢你。,"오늘 정말 즐거웠어요, 감사합니다.","Я отлично провела время сегодня, спасибо."
255,10,Expert 2,Basic Sentences,Thanks,Mi tre aprezas viajn afablajn vortojn,I greatly appreciate your nice words.,温かいお言葉をいただき、心より感謝いたします。,非常感谢您的美言。,좋은 말씀 해주셔서 진심으로 감사드립니다.,Я очень ценю твои добрые слова.
256,10,Expert 2,Basic Sentences,Thanks,Mi vere ne scias kiel danki vin pro via subteno,I really don't know how to thank you for your support.,あなたのご支援に、どう感謝してよいかわかりません。,我真的不知道该如何感谢你的支持。,당신의 지원에 어떻게 감사드려야 할지 모르겠어요.,"Я правда не знаю, как поблагодарить тебя за твою поддержку."
257,10,Expert 2,Basic Sentences,Thanks,Mi ŝatus danki vin ankaŭ nome de mia edzo,I would like to thank you on behalf of my husband too.,夫の分もあわせてお礼申し上げます。,我也想代表我丈夫向您表示感谢。,남편을 대신해서도 감사의 말씀을 전하고 싶어요.,Я бы также хотела поблагодарить вас от имени моего мужа.
258,10,Expert 2,Basic Sentences,Thanks,Estas honoro por mi ricevi ĉi tiun premion,I'm honoured to receive this award.,このような賞をいただき、大変光栄です。,很荣幸获得这个奖项。,이 상을 받게 되어 영광입니다.,Для меня честь получить эту награду.
259,1,Beginner 1,Basic Sentences,Apologies,Pardonu min,I'm sorry.,申し訳ありません。,对不起。,죄송합니다.,Прости меня.
260,1,Beginner 1,Basic Sentences,Apologies,Ĉio estas en ordo,That's all right.,大丈夫です。,没关系。,괜찮아요.,Всё в порядке.
261,1,Beginner 1,Basic Sentences,Apologies,Pardonu!,Excuse me.,失礼します。,不好意思。,실례합니다.,Извините!
262,1,Beginner 1,Basic Sentences,Apologies,Neniu problemo,No problem.,問題ありません。,没问题。,문제없어요.,Никаких проблем.
263,3,Intermediate 1,Basic Sentences,Apologies,Bonvolu pardoni min,Please forgive me.,どうかお許しください。,请原谅我。,용서해 주세요.,"Пожалуйста, прости меня."
264,3,Intermediate 1,Basic Sentences,Apologies,Nenio grava!,Never mind!,気にしないで！,没关系！,신경 쓰지 마세요!,Ничего страшного!
265,3,Intermediate 1,Basic Sentences,Apologies,"Pardonu, mi malfruas",Sorry I'm late.,遅れてしまい、申し訳ありません。,对不起，我来晚了。,늦어서 죄송해요.,"Прости, я опаздываю."
266,3,Intermediate 1,Basic Sentences,Apologies,"Pardonu, ke mi ĝenas vin",Sorry to bother you.,お忙しいところ失礼いたします。,不好意思打扰了。,불편을 드려 죄송합니다.,"Извини, что беспокою."
267,4,Intermediate 2,Basic Sentences,Apologies,"Ne zorgu, mi petas",Please don't worry.,どうかご心配なさらないでください。,请别担心。,걱정하지 마세요.,"Пожалуйста, не волнуйся."
268,4,Intermediate 2,Basic Sentences,Apologies,Ne ofendiĝu,No offence.,気を悪くしないでください。,无意冒犯。,기분 나쁘게 들리지 않았으면 해요.,Не обижайтесь.
269,4,Intermediate 2,Basic Sentences,Apologies,Pardonu min,I apologise.,申し訳ありません。,对不起。,죄송합니다.,Прости.
270,4,Intermediate 2,Basic Sentences,Apologies,"Nu, ni forgesu pri tio","Well, let's forget it.",まあ、もうその話はやめましょう。,算了吧。,"음, 그냥 잊어버립시다.","Ну, давай забудем об этом."
271,5,Intermediate 3,Basic Sentences,Apologies,Pardonu pro la prokrasto,Sorry for the delay.,お待たせして申し訳ありません。,抱歉耽搁了。,늦어서 죄송합니다.,Извините за задержку.
272,5,Intermediate 3,Basic Sentences,Apologies,"Pardonu, mi ne havas tempon","Sorry, I don't have time.",ごめんなさい、時間がありません。,对不起，我没有时间。,죄송하지만 시간이 없어요.,"Извините, у меня нет времени."
273,6,Advanced 1,Basic Sentences,Apologies,"Pardonu, mi ne povas plu paroli","Sorry, I can't talk any longer.",ごめん、もうこれ以上話せないんだ。,抱歉，我不能再聊了。,죄송하지만 더 이상 대화할 수 없을 것 같아요.,"Извините, я не могу больше говорить."
274,6,Advanced 1,Basic Sentences,Apologies,"Pardonu, nenio plu restas","Sorry, there is nothing left.",申し訳ありませんが、もう残っていません。,抱歉，已经没有剩下的了。,"죄송하지만, 남아 있는 것이 없습니다.","Извини, больше ничего не осталось."
275,6,Advanced 1,Basic Sentences,Apologies,Ĉu mi ĝenas vin?,Am I disturbing you?,お邪魔していませんか？,我打扰到你了吗？,제가 방해하고 있나요?,Я вам не мешаю?
276,5,Intermediate 3,Basic Sentences,Apologies,Mi ne tion celis,I didn't mean that.,そんなつもりじゃなかったんです。,我不是那个意思。,그런 뜻이 아니었어요.,Я не то имела в виду.
277,5,Intermediate 3,Basic Sentences,Apologies,Tio estas mia kulpo,That's my fault.,それは私のせいです。,这是我的错。,그건 제 잘못이에요.,Это моя вина.
278,6,Advanced 1,Basic Sentences,Apologies,Mi petas pardonon,I beg your pardon.,申し訳ありません。,请您原谅。,실례합니다.,Прошу прощения.
279,8,Advanced 3,Basic Sentences,Apologies,Ĉu mi povas ĝeni vin momenton?,May I bother you for a moment?,少しお時間をいただいてもよろしいでしょうか。,能打扰您一下吗？,잠시 시간 좀 내주실 수 있을까요?,Могу я вас на секунду побеспокоить?
280,8,Advanced 3,Basic Sentences,Apologies,"Pardonu, sed mi devas nun foriri","Sorry, but I've got to dash now.",ごめん、もう行かなきゃ。,不好意思，我现在得赶紧走了。,죄송하지만 이제 가봐야겠어요.,"Прости, но сейчас мне нужно бежать."
281,8,Advanced 3,Basic Sentences,Apologies,"Pardonu, mi hazarde aŭdis vian konversacion","Sorry, I overheard your conversation.",申し訳ありません、お話が聞こえてしまいました。,不好意思，我无意中听到了你们的谈话。,"죄송해요, 우연히 대화를 듣게 됐어요.","Извините, я случайно услышала ваш разговор."
282,8,Advanced 3,Basic Sentences,Apologies,Ne estas kialo pardonpeti,There's no reason to apologise.,謝る必要はありません。,没必要道歉。,사과하실 필요 없어요.,Нет причин извиняться.
283,10,Expert 2,Basic Sentences,Apologies,"Mi scias, ke vi estas ĉagrenita",I know you're upset.,あなたが気を落としているのは分かっています。,我知道你很难过。,당신이 속상해하는 걸 알아요.,"Я знаю, ты расстроен."
284,10,Expert 2,Basic Sentences,Apologies,"Mi bedaŭras, ke mi diris tion",I regret having said that.,こんなことを言ってしまって後悔しています。,我很后悔说了这句话。,이 말을 해서 후회해요.,"Я сожалею, что сказал это."
285,10,Expert 2,Basic Sentences,Apologies,Mi agis senzorge,It was careless of me.,私の不注意でした。,是我太粗心了。,제가 부주의했어요.,Это было неосторожно с моей стороны.
286,10,Expert 2,Basic Sentences,Apologies,"Mi timas, ke mi ne povas resti plu longe",I'm afraid I can't stay any longer.,申し訳ありませんが、これ以上は滞在できません。,恐怕我不能再待下去了。,더 이상 머무를 수 없을 것 같아요.,"Боюсь, я не могу задержаться дольше."
287,8,Advanced 3,Basic Sentences,Apologies,"Pardonu, sed ĝi estas la lasta","I'm sorry, but it is the last one.",申し訳ありませんが、これが最後です。,很抱歉，但这已经是最后一个了。,"죄송하지만, 이게 마지막이에요.","Извините, но это последний."
288,10,Expert 2,Basic Sentences,Apologies,"Pardonu, ke mi devigis vin atendi",I am sorry to have kept you waiting.,お待たせして申し訳ありません。,抱歉让您久等了。,기다리게 해서 죄송합니다.,"Извините, что заставила вас ждать."
289,10,Expert 2,Basic Sentences,Apologies,Venontfoje mi faros ĉion ĝuste,Next time I'll get it right.,次はうまくやります。,下次我一定会做对。,다음에는 제대로 할게요.,В следующий раз я сделаю всё правильно.
290,1,Beginner 1,Basic Sentences,Instructions,Rigardu!,Look!,見て！,快看！,보세요!,Смотри!
291,1,Beginner 1,Basic Sentences,Instructions,Ni iru!,Let's go!,行こう！,我们走吧！,갑시다!,Пойдём!
292,1,Beginner 1,Basic Sentences,Instructions,Rapidu!,Hurry up!,急いで！,快点！,서두르세요!,Поторопись!
293,1,Beginner 1,Basic Sentences,Instructions,Ĉesu!,Stop it!,やめて！,停下！,그만하세요!,Прекрати!
